[2026-02-15 16:12:08] Conectado ao CLP na porta COM2.
[2026-02-15 16:12:11] Monitor iniciado para 12 TAGs.
[2026-02-15 16:12:42] Alteracao salva: TAG PECAPH30 (DM 2..3) = [148, 0].
[2026-02-15 16:12:42] Alteracao salva: TAG PECAPH31 (DM 4..5) = [149, 0].
[2026-02-15 16:12:43] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [149, 0].
[2026-02-15 16:12:43] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [149, 0].
[2026-02-15 16:12:43] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [150, 0].
[2026-02-15 16:12:44] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [150, 0].
[2026-02-15 16:12:44] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [150, 0].
[2026-02-15 16:12:45] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [151, 0].
[2026-02-15 16:12:45] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [151, 0].
[2026-02-15 16:12:45] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [152, 0].
[2026-02-15 16:12:46] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [152, 0].
[2026-02-15 16:12:47] Alteracao salva: TAG PECAPH29 (DM 0..1) = [152, 0].
[2026-02-15 16:12:48] Alteracao salva: TAG PECAPH30 (DM 2..3) = [256, 0].
[2026-02-15 16:12:48] Alteracao salva: TAG PECAPH31 (DM 4..5) = [256, 0].
[2026-02-15 16:12:48] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [1, 0].
[2026-02-15 16:12:49] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [1, 0].
[2026-02-15 16:12:49] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [1, 0].
[2026-02-15 16:12:49] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [2, 0].
[2026-02-15 16:12:50] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [2, 0].
[2026-02-15 16:12:50] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [2, 0].
[2026-02-15 16:12:51] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [3, 0].
[2026-02-15 16:12:51] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [3, 0].
[2026-02-15 16:12:51] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [4, 0].
[2026-02-15 16:12:53] Alteracao salva: TAG PECAPH29 (DM 0..1) = [4, 0].
[2026-02-15 16:12:53] Alteracao salva: TAG PECAPH30 (DM 2..3) = [5, 0].
[2026-02-15 16:12:53] Alteracao salva: TAG PECAPH31 (DM 4..5) = [6, 0].
[2026-02-15 16:12:54] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [6, 0].
[2026-02-15 16:12:54] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [7, 0].
[2026-02-15 16:12:55] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [7, 0].
[2026-02-15 16:12:55] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [7, 0].
[2026-02-15 16:12:55] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [8, 0].
[2026-02-15 16:12:56] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [8, 0].
[2026-02-15 16:12:56] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [8, 0].
[2026-02-15 16:12:57] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [9, 0].
[2026-02-15 16:12:57] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [9, 0].
[2026-02-15 16:12:58] Alteracao salva: TAG PECAPH29 (DM 0..1) = [16, 0].
[2026-02-15 16:12:59] Alteracao salva: TAG PECAPH30 (DM 2..3) = [17, 0].
[2026-02-15 16:12:59] Alteracao salva: TAG PECAPH31 (DM 4..5) = [17, 0].
[2026-02-15 16:13:00] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [18, 0].
[2026-02-15 16:13:00] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [18, 0].
[2026-02-15 16:13:01] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [19, 0].
[2026-02-15 16:13:01] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [19, 0].
[2026-02-15 16:13:01] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [20, 0].
[2026-02-15 16:13:02] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [20, 0].
[2026-02-15 16:13:02] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [21, 0].
[2026-02-15 16:13:03] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [21, 0].
[2026-02-15 16:13:03] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [21, 0].
[2026-02-15 16:13:05] Alteracao salva: TAG PECAPH29 (DM 0..1) = [22, 0].
[2026-02-15 16:13:05] Alteracao salva: TAG PECAPH30 (DM 2..3) = [23, 0].
[2026-02-15 16:13:06] Alteracao salva: TAG PECAPH31 (DM 4..5) = [24, 0].
[2026-02-15 16:13:06] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [24, 0].
[2026-02-15 16:13:06] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [25, 0].
[2026-02-15 16:13:07] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [25, 0].
[2026-02-15 16:13:07] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [25, 0].
[2026-02-15 16:13:07] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [32, 0].
[2026-02-15 16:13:08] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [32, 0].
[2026-02-15 16:13:08] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [33, 0].
[2026-02-15 16:13:09] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [33, 0].
[2026-02-15 16:13:09] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [33, 0].
[2026-02-15 16:13:10] Alteracao salva: TAG PECAPH29 (DM 0..1) = [34, 0].
[2026-02-15 16:13:11] Alteracao salva: TAG PECAPH30 (DM 2..3) = [35, 0].
[2026-02-15 16:13:11] Alteracao salva: TAG PECAPH31 (DM 4..5) = [35, 0].
[2026-02-15 16:13:11] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [36, 0].
[2026-02-15 16:13:12] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [36, 0].
[2026-02-15 16:13:12] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [36, 0].
[2026-02-15 16:13:13] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [37, 0].
[2026-02-15 16:13:13] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [37, 0].
[2026-02-15 16:13:14] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [38, 0].
[2026-02-15 16:13:14] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [38, 0].
[2026-02-15 16:13:14] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [39, 0].
[2026-02-15 16:13:15] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [39, 0].
[2026-02-15 16:13:16] Alteracao salva: TAG PECAPH29 (DM 0..1) = [39, 0].
[2026-02-15 16:13:16] Alteracao salva: TAG PECAPH30 (DM 2..3) = [41, 0].
[2026-02-15 16:13:17] Alteracao salva: TAG PECAPH31 (DM 4..5) = [41, 0].
[2026-02-15 16:13:17] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [41, 0].
[2026-02-15 16:13:18] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [48, 0].
[2026-02-15 16:13:18] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [48, 0].
[2026-02-15 16:13:18] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [49, 0].
